"","X","Codigo","Size","Year","Forest","Plantation","Farming","ID","Territory","Povo","State","Municipality","Size_old","Legal_status","Identificada","Delimitada","Declarada","Year_dec","Homologada","Year_hom","Binary_hom","TI_RI_DI","Date_added_later","Tenure","Forest_perc","Farming_perc","Plantation_perc","Forest_change","Forest_change_perc"
"1",2,10202,3908.658257,1986,1623.901722,342.2748299,1559.465158,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,41.54627024,39.89771057,8.756836934,-12.06363664,-0.308638817896021
"2",3,10202,3908.658257,1987,1637.365997,344.8866303,1543.483954,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,41.89074329,39.4888438,8.823657828,13.46427449,0.344473054554895
"3",4,10202,3908.658257,1988,1659.112578,356.2490187,1501.865546,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,42.44711276,38.424069,9.114355753,21.74658118,0.556369468757064
"4",5,10202,3908.658257,1989,1558.193592,400.5153748,1552.813362,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,39.86517853,39.72752951,10.24687625,-100.9189855,-2.58193423073671
"5",6,10202,3908.658257,1990,1521.469253,377.7716598,1606.141634,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,38.92561469,41.0918921,9.664995887,-36.72433953,-0.939563837903468
"6",7,10202,3908.658257,1991,1540.896955,404.8186819,1560.805739,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,39.42265744,39.93200829,10.35697304,19.42770244,0.497042748754179
"7",8,10202,3908.658257,1992,1542.516078,414.424617,1568.286652,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,39.46408143,40.12340167,10.60273346,1.619122282,0.0414239919568389
"8",9,10202,3908.658257,1993,1610.177617,389.6763659,1523.28207,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,41.19514962,38.97199421,9.96956859,67.6615395,1.7310681837898
"9",10,10202,3908.658257,1994,1691.751443,396.2474887,1436.097527,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,43.28215289,36.74144509,10.13768569,81.57382568,2.08700327110741
"10",11,10202,3908.658257,1995,1818.6865,394.8954173,1304.735904,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,46.52968821,33.3806595,10.10309399,126.9350574,3.24753531912575
"11",12,10202,3908.658257,1996,1741.209641,519.0071346,1252.974042,143,"Comboios","Guarani, Tupiniquim","ES","Aracruz",3872.14,"Regularizada","","20/02/2006","28/08/2007",2007,"8/11/10",2010,"Y","TI","N",0,44.54750267,32.05637227,13.27839633,-77.47685884,-1.98218554157931
